Algorithm Category,Algorithm Name,Dataset Name,Dataset Size,Run Index,Warmup,Time (s),Comparisons,Swaps/Moves,Auxiliary Elements,Status,Error Detail
Counting Sort,counting_sort_unstable,random_uniform_int,100,0,False,0.00010804000339703634,0.0,1200.0,1100.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100,1,False,0.00010705099703045562,0.0,1200.0,1100.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100,2,False,0.00011441000242484733,0.0,1200.0,1100.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100,3,False,0.0001071010046871379,0.0,1200.0,1100.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,1000,-1,True,0.0007895119997556321,0.0,11956.0,10956.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,1000,0,False,0.0007946719997562468,0.0,11956.0,10956.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,1000,1,False,0.0005723520007450134,0.0,11956.0,10956.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,1000,2,False,0.000567221999517642,0.0,11956.0,10956.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,1000,3,False,0.0005692420018021949,0.0,11956.0,10956.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,10000,-1,True,0.005834929004777223,0.0,119993.0,109993.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,10000,0,False,0.0064088509971043095,0.0,119993.0,109993.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,10000,1,False,0.006503011005406734,0.0,119993.0,109993.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,10000,2,False,0.0067516419949242845,0.0,119993.0,109993.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100000,0,False,0.1112879080028506,0.0,2299501.0,1099751.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100000,-1,True,0.11363103600160684,0.0,2299501.0,1099751.0,OK,
